"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.241094800E-2,-5.450739861E-1,-2.570880055E-1,3.705473900E0
5.761474800E-2,-4.941419959E-1,7.743369937E-1,9.739609957E-1
6.263637600E-2,-6.668030024E-1,8.878999949E-1,7.884399891E-1
6.765911600E-2,-2.768299878E-1,8.437500149E-2,2.135116100E0
7.268153000E-2,-3.543919921E-1,5.061370134E-1,1.460728049E0
7.770406900E-2,-3.929629922E-1,-7.407690287E-1,3.393268108E0
8.272655400E-2,-3.434950113E-1,-1.586859971E-1,2.775000095E0
8.774919600E-2,-6.600859761E-1,-1.196403980E0,4.239927769E0
9.277178900E-2,-5.632969737E-1,-7.376850247E-1,3.805664062E0
9.779424400E-2,-7.058629990E-1,-1.374068022E0,4.198690891E0
1.028167290E-1,-6.754540205E-1,-1.052477002E0,4.327621937E0
1.078393840E-1,-6.825360060E-1,-1.259556055E0,3.442842007E0
1.128619760E-1,-6.473600268E-1,-1.138705969E0,3.846097946E0
1.178845660E-1,-6.677529812E-1,-9.404169917E-1,2.434916973E0
1.229071460E-1,-6.639620066E-1,-9.274240136E-1,2.933393002E0
1.279296460E-1,-4.774329960E-1,-8.171330094E-1,1.349387050E0
1.329521600E-1,-5.059700012E-1,-7.844319940E-1,1.909461975E0
1.379748160E-1,-3.517119884E-1,-5.416709781E-1,3.194699883E-1
1.429974130E-1,-3.410899937E-1,-6.834999919E-1,7.950819731E-1
1.480200270E-1,-3.676410019E-1,-2.461410016E-1,-6.612330079E-1
1.530426080E-1,-3.171670139E-1,-3.922989964E-1,-1.641660035E-1
1.580650980E-1,-3.468919992E-1,-6.472600251E-2,-1.489969015E0
1.630876120E-1,-3.279010057E-1,-1.715870053E-1,-1.092447996E0
1.681101850E-1,-1.339000016E-1,-2.262599953E-2,-2.065115929E0
1.731327500E-1,-2.239930034E-1,-4.326400161E-2,-1.830824971E0
1.781552450E-1,6.370499730E-2,-4.941999912E-2,-2.291712999E0
1.831777570E-1,-3.327799961E-2,-1.352799963E-2,-2.233922005E0
1.882003630E-1,2.390030026E-1,-1.673430055E-1,-2.168457985E0
1.932229280E-1,9.665399790E-2,-2.414499968E-2,-2.242326975E0
1.982455470E-1,3.538840115E-1,-3.227469921E-1,-2.059607029E0
2.032681540E-1,2.739149928E-1,-9.250299633E-2,-2.138113976E0
2.082906120E-1,1.671449989E-1,-3.116520047E-1,-1.667477965E0
2.133131310E-1,2.417580038E-1,-1.537739933E-1,-1.869119048E0
2.183357160E-1,-9.066899866E-2,-3.262329996E-1,-1.343840003E0
2.233582820E-1,5.156200007E-2,-1.120890006E-1,-1.492252946E0
2.283807670E-1,-2.616170049E-1,-2.331009954E-1,-1.014922976E0
2.334032800E-1,-1.087090001E-1,-1.082009971E-1,-1.153712988E0
2.384258420E-1,-1.667329967E-1,-1.004230008E-1,-8.997859955E-1
2.434484070E-1,-1.595260054E-1,-5.716599897E-2,-9.104440212E-1
2.484710020E-1,5.933900177E-2,1.085370034E-1,-1.057098031E0
2.534936090E-1,1.229100022E-2,7.072699815E-2,-8.974400163E-1
2.585160380E-1,3.142090142E-1,4.107410014E-1,-1.511235952E0
2.635385250E-1,2.166659981E-1,2.106039971E-1,-1.267207026E0
2.685611660E-1,6.340759993E-1,7.054589987E-1,-2.265537024E0
2.735837590E-1,3.802039921E-1,4.650439918E-1,-1.875854969E0
2.786062440E-1,1.073045015E0,7.772989869E-1,-2.943906069E0
2.836287610E-1,7.518479824E-1,5.470010042E-1,-2.657735109E0
2.886513320E-1,1.014793038E0,7.873960137E-1,-3.343821049E0
2.936738980E-1,8.585960269E-1,5.231040120E-1,-3.197335958E0
2.986965080E-1,8.824399710E-1,7.625679970E-1,-3.692363024E0
3.037191150E-1,7.095689774E-1,4.763100147E-1,-3.495640993E0
3.087415190E-1,8.922989964E-1,6.231380105E-1,-3.967452049E0
3.137640060E-1,6.468799710E-1,3.820570111E-1,-3.893996954E0
3.187866330E-1,8.927609921E-1,5.561640263E-1,-4.007616043E0
3.238092260E-1,6.763730049E-1,3.083449900E-1,-3.946167946E0
3.288317110E-1,5.729929805E-1,4.081330001E-1,-3.994419098E0
3.338542280E-1,5.635709763E-1,1.919919997E-1,-4.027584076E0
3.388768280E-1,1.943439990E-1,1.255089939E-1,-3.533198118E0
3.438993940E-1,2.580890059E-1,5.812999979E-2,-3.769316912E0
3.489218980E-1,-1.405889988E-1,-4.599300027E-2,-2.592035055E0
3.539444100E-1,-1.778000034E-3,-7.168599963E-2,-3.119029045E0
3.589670180E-1,-2.970280051E-1,-3.403249979E-1,-1.371489048E0
3.639896140E-1,-1.907359958E-1,-2.020280063E-1,-1.957553983E0
3.690121890E-1,-3.287430108E-1,-4.890860021E-1,-4.048210084E-1
3.740347700E-1,-2.789900005E-1,-3.660990000E-1,-8.581179976E-1
3.790572710E-1,-2.491230071E-1,-4.679760039E-1,2.758859992E-1
3.840797850E-1,-1.934009939E-1,-4.266769886E-1,-3.437199816E-2
3.891023820E-1,-1.335780025E-1,-3.162299991E-1,6.110429764E-1
3.941249470E-1,-1.974620074E-1,-3.781259954E-1,5.039389729E-1
3.991474230E-1,3.581599891E-2,-2.659380138E-1,7.086600065E-1
4.041699350E-1,-8.145199716E-2,-2.786239982E-1,6.951460242E-1
4.091925760E-1,2.087340057E-1,-1.983229965E-1,7.612029910E-1
4.142151730E-1,7.132200152E-2,-2.566789985E-1,7.016670108E-1
4.192377530E-1,2.783049941E-1,-2.062640041E-1,9.146969914E-1
4.242603340E-1,9.699399769E-2,-2.169979960E-1,8.291559815E-1
4.292828010E-1,5.598009825E-1,-3.469609916E-1,1.095774055E0
4.343053150E-1,2.519260049E-1,-2.985090017E-1,1.047644019E0
4.393278880E-1,6.212149858E-1,-3.903470039E-1,1.031396985E0
4.443504530E-1,4.387049973E-1,-3.760220110E-1,1.041759014E0
4.493729330E-1,7.850559950E-1,-5.686579943E-1,1.605041027E0
4.543954450E-1,4.634329975E-1,-3.735559881E-1,1.266083956E0
4.594180620E-1,7.578200102E-1,-8.630139828E-1,1.791185975E0
4.644406590E-1,6.679559946E-1,-6.475679874E-1,1.731134057E0
4.694630980E-1,4.244160056E-1,-8.919360042E-1,1.895949006E0
4.744855840E-1,5.359280109E-1,-8.284869790E-1,1.863754034E0
4.795082350E-1,-2.442399971E-2,-7.839000225E-1,1.853909016E0
4.845308270E-1,1.677549928E-1,-7.176889777E-1,1.837522984E0
4.895534170E-1,-2.267760038E-1,-7.721840143E-1,1.951869965E0
