"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,6.505553870E1,2.545640240E1,NaN,NaN,NaN,1.200000000E3,0.000000000E0
2.003837530E-1,6.505357320E1,2.545664040E1,1.541645592E1,NaN,NaN,7.618599701E1,2.201675892E0
1.545890462E0,6.505357320E1,2.545664040E1,1.541645592E1,NaN,NaN,8.560099792E1,4.084675789E0
1.570383753E0,6.505350500E1,2.545729000E1,1.201654964E1,1.189523101E0,1.829799957E2,2.500000000E0,1.060000038E1
2.144383753E0,6.505348500E1,2.545732333E1,1.171656097E1,1.359381437E0,1.646600037E2,1.799999952E0,1.039999962E1
2.644383753E0,6.505347500E1,2.545734667E1,1.141656733E1,1.553431630E0,1.620299988E2,1.600000024E0,1.060000038E1
3.144383753E0,6.505346000E1,2.545737167E1,1.081657583E1,1.665641069E0,1.578600006E2,1.500000000E0,1.089999962E1
4.144383753E0,6.505343333E1,2.545741167E1,1.041659046E1,1.634243011E0,1.575899963E2,1.500000000E0,1.130000019E1
5.644383753E0,6.505340833E1,2.545744833E1,1.001660408E1,1.643508077E0,1.542100067E2,1.500000000E0,1.139999962E1
6.644383753E0,6.505339500E1,2.545747500E1,9.816612100E0,1.487032533E0,1.577100067E2,1.500000000E0,1.050000000E1
7.644383753E0,6.505338000E1,2.545750167E1,9.416620766E0,1.426810026E0,1.600200043E2,1.500000000E0,1.010000038E1
8.644383753E0,6.505336667E1,2.545751167E1,9.016627023E0,1.576594114E0,1.602899933E2,1.500000000E0,1.000000000E1
9.644383753E0,6.505335167E1,2.545753167E1,8.616634986E0,1.547769666E0,1.528800049E2,1.500000000E0,9.800000191E0
1.064438375E1,6.505333667E1,2.545755500E1,8.316643299E0,1.608506918E0,1.520599976E2,1.500000000E0,9.899999619E0
1.164438375E1,6.505332333E1,2.545757167E1,8.116650258E0,1.560123086E0,1.647500000E2,1.500000000E0,9.800000191E0
1.264438375E1,6.505331167E1,2.545757833E1,8.016655513E0,1.539534211E0,1.631499939E2,1.500000000E0,1.000000000E1
1.364438375E1,6.505329833E1,2.545758333E1,8.016661242E0,1.534901619E0,1.643399963E2,1.500000000E0,1.000000000E1
1.464438375E1,6.505328500E1,2.545759167E1,7.916667322E0,1.614683628E0,1.572500000E2,1.500000000E0,9.899999619E0
1.514438375E1,6.505327833E1,2.545760167E1,8.116670977E0,1.481885314E0,1.643500061E2,1.500000000E0,9.800000191E0
1.564438375E1,6.505327667E1,2.545760333E1,8.316671802E0,1.525636673E0,1.604400024E2,1.500000000E0,9.699999809E0
1.614438375E1,6.505327167E1,2.545761333E1,8.316674807E0,1.511739135E0,1.685899963E2,1.500000000E0,9.600000381E0
1.664438375E1,6.505326500E1,2.545762167E1,8.416678286E0,1.505047798E0,1.673300018E2,1.399999976E0,9.399999619E0
1.764438375E1,6.505325000E1,2.545763333E1,8.216685367E0,1.461811066E0,1.687299957E2,1.399999976E0,9.600000381E0
1.864438375E1,6.505323000E1,2.545764000E1,8.416693871E0,1.479826331E0,1.848500061E2,1.399999976E0,9.699999809E0
1.964438375E1,6.505321167E1,2.545764333E1,8.616701374E0,1.498871088E0,1.980700073E2,1.399999976E0,1.010000038E1
2.064438375E1,6.505319167E1,2.545762167E1,9.116706894E0,1.502474189E0,2.211000061E2,1.399999976E0,1.039999962E1
2.164438375E1,6.505318500E1,2.545760000E1,9.016707213E0,1.495782733E0,2.315200043E2,1.399999976E0,1.080000019E1
2.264438375E1,6.505317333E1,2.545757500E1,9.416709131E0,1.479826331E0,2.329199982E2,1.399999976E0,1.110000038E1
2.364438375E1,6.505316500E1,2.545754000E1,1.001670870E1,1.488061905E0,2.411799927E2,1.399999976E0,1.130000019E1
2.464438375E1,6.505315667E1,2.545750333E1,1.061670809E1,1.503503561E0,2.380700073E2,1.399999976E0,1.130000019E1
2.564438375E1,6.505315167E1,2.545747500E1,1.081670706E1,1.476223350E0,2.454600067E2,1.399999976E0,1.119999981E1
2.664438375E1,6.505314667E1,2.545744500E1,1.111670585E1,1.472620249E0,2.527299957E2,1.399999976E0,1.130000019E1
2.764438375E1,6.505314333E1,2.545741167E1,1.111670364E1,1.494753361E0,2.557500000E2,1.399999976E0,1.110000038E1
2.864438375E1,6.505313833E1,2.545737667E1,1.101670191E1,1.543137193E0,2.520200043E2,1.399999976E0,1.130000019E1
2.964438375E1,6.505313500E1,2.545734167E1,1.081669952E1,1.589976907E0,2.542400055E2,1.500000000E0,1.130000019E1
3.064438375E1,6.505313000E1,2.545730667E1,1.071669779E1,1.601300836E0,2.545500031E2,1.500000000E0,1.139999962E1
3.164438375E1,6.505312667E1,2.545726333E1,1.041669453E1,1.620345592E0,2.664700012E2,1.500000000E0,1.180000019E1
3.264438375E1,6.505312000E1,2.545722667E1,1.021669327E1,1.634757757E0,2.523500061E2,1.500000000E0,9.899999619E0
3.364438375E1,6.505311167E1,2.545719000E1,9.916692669E0,1.650714159E0,2.469199982E2,1.500000000E0,9.800000191E0
3.464438375E1,6.505310167E1,2.545715333E1,9.616692715E0,1.659464478E0,2.441100006E2,1.500000000E0,9.800000191E0
3.564438375E1,6.505309000E1,2.545712167E1,9.616693938E0,1.719686985E0,2.406799927E2,1.500000000E0,9.500000000E0
3.664438375E1,6.505308333E1,2.545708500E1,9.816692683E0,1.730496168E0,2.529199982E2,1.500000000E0,9.500000000E0
3.764438375E1,6.505307667E1,2.545705167E1,9.916691780E0,1.691891909E0,2.451900024E2,1.500000000E0,9.300000191E0
3.864438375E1,6.505307333E1,2.545701500E1,1.031668922E1,1.659979224E0,2.548300018E2,1.399999976E0,9.399999619E0
3.964438375E1,6.505306833E1,2.545698833E1,1.031668837E1,1.611595273E0,2.485700073E2,1.500000000E0,9.500000000E0
4.064438375E1,6.505306000E1,2.545696500E1,1.011668917E1,1.574535251E0,2.420500031E2,1.500000000E0,9.500000000E0
4.164438375E1,6.505305500E1,2.545693000E1,1.001668744E1,1.549828649E0,2.487299957E2,1.500000000E0,9.399999619E0
4.264438375E1,6.505305333E1,2.545689667E1,1.001668459E1,1.533357501E0,2.600400085E2,1.500000000E0,9.500000000E0
4.364438375E1,6.505304667E1,2.545685833E1,9.916683160E0,1.487032533E0,2.629100037E2,1.500000000E0,9.699999809E0
4.464438375E1,6.505304167E1,2.545683167E1,9.816682308E0,1.437104464E0,2.540800018E2,1.399999976E0,9.500000000E0
4.564438375E1,6.505303500E1,2.545680667E1,9.616682284E0,1.387691140E0,2.535000000E2,1.399999976E0,9.600000381E0
4.664438375E1,6.505302833E1,2.545677833E1,9.716681909E0,1.373278856E0,2.515700073E2,1.399999976E0,9.500000000E0
4.764438375E1,6.505301667E1,2.545674333E1,9.916682788E0,1.407250524E0,2.471300049E2,1.500000000E0,9.600000381E0
4.864438375E1,6.505301167E1,2.545671333E1,9.816681587E0,1.411368370E0,2.524299927E2,1.500000000E0,9.600000381E0
4.964438375E1,6.505300500E1,2.545668833E1,9.416681564E0,1.442251682E0,2.540299988E2,1.500000000E0,9.500000000E0
5.064438375E1,6.505300000E1,2.545666167E1,9.116680714E0,1.451516628E0,2.540599976E2,1.500000000E0,9.500000000E0
5.164438375E1,6.505299500E1,2.545663000E1,8.816679339E0,1.459237456E0,2.536999969E2,1.500000000E0,9.100000381E0
